_id,additional,firstName,lastName,role,fullName,occupation
6504166ba47588ad6024a5fd,,Anna,Blaha,Mädchen,Anna Blaha,Schauspieler
6504166ba47588ad6024a5fe,1897-1906,Emma,Blaha,"Christine Oyadec, ein Bauernmädchen",Emma Blaha,Schauspieler
6504166ba47588ad6024a605,,Georg,Blaim,1. Jagdfreund,Georg Blaim,Schauspieler
690c5e8452365fce4c9879cf,,Michael,Blakemore,Ein römischer Hauptmann,Michael Blakemore,Schauspieler
6504166ba47588ad6024a60c,,Agnes,Blattner,Fritz,Agnes Blattner,Schauspieler
6504166ba47588ad6024a61b,1829-1894,Sigmund,Bleibtreu,Hauptmann,Sigmund Bleibtreu,Schauspieler
6504166ba47588ad6024a612,1868-1958,Hedwig,Bleibtreu (Römpler-Bleibtreu),Gertrude,Hedwig Bleibtreu (Römpler-Bleibtreu),Schauspieler
690c5d3b52365fce4c98770e,,William,Blezard,Assistenz,William Blezard,Schauspieler
662a607646b3b9baaf1ec87e,,Ernst,Bloch,,Ernst Bloch,Schauspieler
6504166ba47588ad6024b638,,Robert,Blum,Kammerdiener Wallensteins,Robert Blum,Schauspieler
6504166ba47588ad6024a621,,Fritz,Blum,Gerichtsbeamter,Fritz Blum,Schauspieler
6504166ba47588ad6024a623,,Anna,Bock,"Babette, Dienstmädchen im Hause des Rates",Anna Bock,Schauspieler
6504166ba47588ad6024a625,auch Botgorschek,Marie,Bodgorschek,Trudchen,Marie Bodgorschek,Schauspieler
6504166ba47588ad6024a626,,Friederike,Bognár,Dessen Frau,Friederike Bognár,Schauspieler
69120441dd3949980ba0dc11,,Joseph,Boland,Anagnos,Joseph Boland,Schauspieler
653f45bf00806585029666bf,1808-1851,Anton Carl,Bolzmann,Busch,Anton Carl Bolzmann,Schauspieler
6566529f0080658502f31887,,Ferdinand,Bonn,Abdallah,Ferdinand Bonn,Schauspieler
6504166ba47588ad6024a628,,Wilhelm,Borchert,Aus den Essays: Corrida,Wilhelm Borchert,Schauspieler
66c107ce797f4aaa6ae1a17d,,Giulio,Bosetti,Pilade,Giulio Bosetti,Schauspieler
6504166ba47588ad6024b2dc,,Carl,Bosse,Deutsch,Carl Bosse,Schauspieler
6504166ba47588ad6024bf35,,Jan,Bosse,Regie,Jan Bosse,Schauspieler
6504166ba47588ad6024a62f,1833-1919,Marie,Bossler (Boßler),Katharina,Marie Bossler (Boßler),Schauspieler
660fb9ea21b0fcd2e661d38c,,Dlle,Botgorscheck,Trudchen,Dlle Botgorscheck,Schauspieler
691209abdd3949980ba15939,,Paul,Bowles,Musik,Paul Bowles,Schauspieler
651691d696c724dc0090c2c0,,Vitan,Bozinovski,und,Vitan Bozinovski,Schauspieler
6504166ba47588ad6024a638,1758-1831,Franz,Brabbee,Michel,Franz Brabbee,Schauspieler
6504166ba47588ad6024a63e,,Hans,Brahm,Regie,Hans Brahm,Schauspieler
6504166ba47588ad6024b2e4,,Moritz Ritter von,Brahm,Deutsch,Moritz Ritter von Brahm,Schauspieler
6504166ba47588ad6024a63f,1903-1904,Jaques,Brammer,Der König (Zwischenspiel),Jaques Brammer,Schauspieler
6504166ba47588ad6024b2e6,,Johann Christian,Brandes,,Johann Christian Brandes,Schauspieler
6504166ba47588ad6024b2ea,"Pseud. Paoli, Betty",Elisabeth,Branitz,Deutsch,Elisabeth Branitz,Schauspieler
6504166ba47588ad6024a647,,Ida,Branko,Friederike,Ida Branko,Schauspieler
6504166ba47588ad6024a62d,1884-1899,Leopoldine,Bransch,Bertha,Leopoldine Bransch,Schauspieler
6504166ba47588ad6024a62c,1893-1926,Anna,Brantsch,Bertha,Anna Brantsch,Schauspieler
6504166ba47588ad6024a634,,Friedrich,Braun,"Der Chor, bestehend aus den Mannen der Feuerwehr",Friedrich Braun,Schauspieler
6504166ba47588ad6024a63c,1899-1971,Viktor,Braun,Der Pfarrer,Viktor Braun,Schauspieler
6504166ba47588ad6024b2f0,,,Braun,, Braun,Schauspieler
6504166ba47588ad6024a648,,Auguste,Brede,Theudelinde,Auguste Brede,Schauspieler
69120450dd3949980ba0dc14,,Romney,Brent,Doctor,Romney Brent,Schauspieler
6504166ba47588ad6024b2f7,,Fr.,Bresemann,Deutsch,Fr. Bresemann,Schauspieler
662e443246b3b9baaf15cdd2,vom Stadtheater Frankfurt,Herr,Breuer,Uriel Acosta,Herr Breuer,Schauspieler
6504166ba47588ad6024a656,,Louise,Brion,"Jenny, Kammermädchen",Louise Brion,Schauspieler
6504166ba47588ad6024a657,,Antonio,Brioschi,Bühnenbild,Antonio Brioschi,Schauspieler
